run,file,collected,passed,failed,flaky,skipped,duration_s,start
1,run1.json,1305,1176,7,0,122,579.3,2026-08-16T23:21:41.051Z
2,run2.json,1305,1178,5,0,122,542.4,2026-08-16T23:31:20.751Z
3,run3.json,1305,1177,6,0,122,556.4,2026-08-16T23:40:23.623Z
4,run4.json,1305,1178,5,0,122,540.3,2026-08-16T23:49:40.580Z
5,run5.json,1305,1176,7,0,122,543.3,2026-08-16T23:58:41.272Z

test_matrix,run1,run2,run3,run4,run5,failures,timeouts,stability
"[desktop-1920] homepage-chrome.spec.ts:422 opens from every header state",TIMEOUT,TIMEOUT,FAIL,FAIL,FAIL,5,2,STABLE FAILURE
"[desktop-1920] homepage-chrome.spec.ts:470 focus is trapped inside the layer while it is open",TIMEOUT,TIMEOUT,TIMEOUT,PASS,TIMEOUT,4,4,WANDERING
"[desktop-1440] homepage-chrome.spec.ts:422 opens from every header state",PASS,FAIL,TIMEOUT,PASS,FAIL,3,1,WANDERING
"[reduced-motion] homepage-chrome.spec.ts:470 focus is trapped inside the layer while it is open",TIMEOUT,TIMEOUT,TIMEOUT,PASS,PASS,3,3,WANDERING
"[desktop-1920] homepage-modality.spec.ts:220 keyboard focus stays in the layer, Escape closes it, and the page comes back",TIMEOUT,TIMEOUT,PASS,PASS,TIMEOUT,3,3,WANDERING
"[desktop-1440] homepage-chrome.spec.ts:470 focus is trapped inside the layer while it is open",PASS,PASS,TIMEOUT,PASS,TIMEOUT,2,2,WANDERING
"[desktop-1920] homepage-chrome.spec.ts:558 opening the menu does not walk the journey back down the mountain",PASS,PASS,TIMEOUT,PASS,FAIL,2,1,WANDERING
"[desktop-1920] homepage-history.spec.ts:223 back and forward restore the position, the chapter and the chrome",FAIL,PASS,PASS,FAIL,PASS,2,0,WANDERING
"[mobile-390] mobile-homepage-simple.spec.ts:170 the renderer is not requested at all when there is no WebGL",FAIL,PASS,PASS,FAIL,PASS,2,0,WANDERING
"[mobile-430] mobile-homepage-simple.spec.ts:170 the renderer is not requested at all when there is no WebGL",FAIL,PASS,PASS,FAIL,PASS,2,0,WANDERING
"[desktop-1440] homepage-chrome.spec.ts:259 the journey state compacts the wordmark and keeps the header short",PASS,PASS,PASS,PASS,FAIL,1,0,WANDERING
"[desktop-webkit] homepage-modality.spec.ts:220 keyboard focus stays in the layer, Escape closes it, and the page comes back",PASS,PASS,PASS,FAIL,PASS,1,0,WANDERING
